Td	ID	Tj	Df	Dd	Db
303	824	301	0	2	2
303	811	298	0	5	5
303	812	298	0	5	5
303	833	303	0	0	0
303	831	303	0	0	0
303	830	303	0	0	0
304	829	303	0	1	1
304	491	184	0	120	120
304	828	303	0	1	1
304	832	303	0	1	1
305	839	305	0	0	0
305	834	305	0	0	0
306	835	305	0	1	1
306	838	305	0	1	1
308	843	308	0	0	0
308	842	308	0	0	0
308	844	308	0	0	0
308	845	308	0	0	0
308	846	308	0	0	0
309	836	305	0	4	4
310	851	310	0	0	0
311	860	311	0	0	0
311	848	310	0	1	1
311	853	310	0	1	1
311	856	311	0	0	0
311	857	311	0	0	0
311	861	311	0	0	0
312	852	310	0	2	2
312	855	311	0	1	1
312	858	311	0	1	1
312	859	311	0	1	1
313	849	310	0	3	3
317	865	317	0	0	0
317	867	317	0	0	0
317	868	317	0	0	0
317	862	317	0	0	0
317	866	317	0	0	0
318	863	317	0	1	1
319	874	318	0	1	1
319	875	318	0	1	1
319	871	318	0	1	1
319	872	318	0	1	1
320	878	320	0	0	0
320	880	320	0	0	0
321	876	320	0	1	1
321	883	321	0	0	0
321	888	321	0	0	0
321	886	321	0	0	0
321	889	321	0	0	0
323	894	323	0	0	0
323	896	323	0	0	0
324	891	323	0	1	1
324	893	323	0	1	1
324	890	323	0	1	1
326	900	326	0	0	0
326	898	326	0	0	0
326	901	326	0	0	0
327	899	326	1	0	1
328	897	326	0	2	2
328	905	327	0	1	1
328	909	327	0	1	1
328	916	328	0	0	0
329	902	326	0	3	3
329	904	327	0	2	2
329	906	327	0	2	2
329	911	328	1	0	1
329	913	328	1	0	1
329	914	328	1	0	1
329	915	328	1	0	1
329	917	328	1	0	1
330	910	327	1	2	3
330	895	323	0	7	7
330	882	320	0	10	10
330	869	318	0	12	12
330	654	228	0	102	102
330	850	310	0	20	20
330	723	252	1	77	78
331	854	310	0	21	21
333	919	333	0	0	0
333	920	333	0	0	0
334	927	334	0	0	0
334	923	333	0	1	1
334	921	333	0	1	1
335	934	335	0	0	0
335	925	334	0	1	1
335	930	334	0	1	1
335	931	334	0	1	1
336	907	327	0	9	9
336	926	334	0	2	2
336	932	335	0	1	1
336	933	335	0	1	1
336	936	335	0	1	1
336	937	335	0	1	1
336	935	335	0	1	1
337	881	320	0	17	17
337	928	334	0	3	3
337	840	305	0	32	32
338	939	338	0	0	0
338	942	338	0	0	0
338	938	335	2	1	3
338	944	338	0	0	0
338	943	338	0	0	0
339	941	338	0	1	1
339	929	334	0	5	5
339	912	328	1	10	11
339	945	338	0	1	1
340	892	323	0	17	17
343	947	343	0	0	0
343	940	338	0	5	5
343	918	333	0	10	10
343	544	196	0	147	147
343	950	343	0	0	0
343	952	343	0	0	0
343	948	343	0	0	0
343	949	343	0	0	0
344	958	344	0	0	0
344	951	343	0	1	1
344	957	344	0	0	0
344	959	344	0	0	0
345	956	344	0	1	1
345	946	343	0	2	2
350	960	350	0	0	0
350	963	350	0	0	0
350	964	350	0	0	0
350	961	350	0	0	0
351	962	350	0	1	1
351	966	350	0	1	1
352	965	350	0	2	2
354	967	353	0	1	1
354	971	353	0	1	1
361	977	361	0	0	0
361	976	361	0	0	0
361	980	361	0	0	0
362	975	361	0	1	1
362	978	361	0	1	1
362	979	361	0	1	1
363	982	363	0	0	0
363	985	363	0	0	0
363	987	363	0	0	0
363	983	363	0	0	0
363	986	363	0	0	0
364	984	363	0	1	1
364	989	364	0	0	0
365	990	364	0	1	1
365	996	365	0	0	0
366	994	364	0	2	2
366	997	365	0	1	1
366	998	365	0	1	1
366	1000	365	0	1	1
366	993	364	0	2	2
367	999	365	0	2	2
367	1001	365	0	2	2
367	995	365	0	2	2
368	1003	368	0	0	0
368	1006	368	0	0	0
368	1007	368	0	0	0
368	1008	368	0	0	0
369	1004	368	0	1	1
371	1010	371	0	0	0
371	1012	371	0	0	0
371	1009	371	0	0	0
372	1015	371	0	1	1
372	1013	371	0	1	1
372	1021	372	0	0	0
372	1018	372	0	0	0
373	1019	372	0	1	1
373	1022	372	0	1	1
373	1014	371	0	2	2
373	1020	372	0	1	1
374	1024	374	0	0	0
374	1025	374	0	0	0
375	1028	374	0	1	1
375	1029	374	0	1	1
375	1023	374	0	1	1
375	1027	374	0	1	1
378	1032	378	0	0	0
378	1030	378	0	0	0
378	1031	378	0	0	0
378	1033	378	0	0	0
378	1034	378	0	0	0
379	974	361	0	18	18
379	1026	374	0	5	5
379	973	353	0	26	26
379	1035	378	0	1	1
380	2036	13	1	366	367
380	1040	380	0	0	0
380	1041	380	0	0	0
380	1043	380	0	0	0
381	1038	380	0	1	1
381	1039	380	0	1	1
381	1042	380	0	1	1
382	1049	382	0	0	0
382	1046	382	0	0	0
382	1044	382	0	0	0
383	1056	383	0	0	0
